ID|MartID|SrcID|Alias|Name|Type
2574617|2249124||ama_univ_person_200|AMA Universe - Person 200 - Final: Reset CPD Flags|Datamart Maintenance
2574619|2249126||ama_univ_place_200|AMA Universe - Place 200 - Final: Reset CPD Flags|Datamart Maintenance
2574618|2249127||ama_univ_person_at_place_100|AMA Universe - Person at Place 100 - Final: Reset CPD Flags|Datamart Maintenance
2562488|2298328||amae_property_hh_100|AMAE - Property - Household 100 FINAL: kgoodm_fix_lenderName|Datamart Maintenance
2562491|2302573||amae_property_pl_100|AMAE - Property - Place 100 FINAL: kgoodm_fixParcelNumber|Datamart Maintenance
2575478|2307384||amae_attributes_ps_200|AMAE - Attributes - Person 200 FINAL: Manual injection of the CPD logic|Datamart Maintenance
3142682|2322430||ibefmbrazil001_amae|AMAE - FM - Brazil 001: Manual injection of the CPD logic|Datamart Maintenance
3142683|2322439||ibefmbrazil002_amae|AMAE - FM - Brazil 002: Manual injection of the CPD logic|Datamart Maintenance
3142776|2322691||ibefmdublin004_amae|AMAE - FM - Dublin 004: Manual injection of the CPD logic|Datamart Maintenance
3142659|2322724||ibefmbaxter001_amae|AMAE - FM - Baxter 001: Manual injection of the CPD logic|Datamart Maintenance
3142662|2322789||ibefmbentonmaster_amae|AMAE - FM - Benton 003 Benton 005: Manual injection of the CPD logic|Datamart Maintenance
3142661|2322795||ibefmbenton004_amae|AMAE - FM - Benton 004: Manual injection of the CPD logic|Datamart Maintenance
3142716|2322816||ibefmcheraw031_038_amae|AMAE - FM - Cheraw 031-038: Manual injection of the CPD logic|Datamart Maintenance
3142733|2323008||ibefmconroe001_amae|AMAE - FM - Conroe 001: Manual injection of the CPD logic|Datamart Maintenance
3142717|2323532||ibefmcolton001_amae|AMAE - FM - Colton 001: Manual injection of the CPD logic|Datamart Maintenance
3142762|2323550||ibefmconway002_010_amae|AMAE - FM - Conway 002/010: Manual injection of the CPD logic|Datamart Maintenance
3142766|2323555||ibefmconway003_amae|AMAE - FM - Conway 003: Manual injection of the CPD logic|Datamart Maintenance
3142665|2323566||ibefmbishop002_amae|AMAE - FM - Bishop 002: Manual injection of the CPD logic|Datamart Maintenance
3142685|2323670||ibefmcalera001_amae|AMAE - FM - Calera 001: Manual injection of the CPD logic|Datamart Maintenance
3142760|2323676||ibefmconway001_historical_amae|AMAE - FM - Conway 001 Historical: Manual injection of the CPD logic|Datamart Maintenance
3142663|2323884||ibefmbeulah001_historical_amae|AMAE - FM - Beulah 001 Historical: Manual injection of the CPD logic|Datamart Maintenance
3142771|2323988||ibefmdelano001_amae|AMAE - FM - Delano 001: Manual injection of the CPD logic|Datamart Maintenance
3142774|2324067||ibefmdexter001_historical_amae|AMAE - FM - Dexter 001 Historical: Manual injection of the CPD logic|Datamart Maintenance
3142775|2324126||ibefmdublin001_amae|AMAE - FM - Dublin 001: Manual injection of the CPD logic|Datamart Maintenance
3142719|2331394||ibefmcolton002_historical_amae|AMAE - FM - Colton 002 Historical: Manual injection of the CPD logic|Datamart Maintenance
3142784|2331780||ibefmdumont001_historical_amae|AMAE - FM - Dumont 001 Historical: Manual injection of the CPD logic|Datamart Maintenance
2568650|2332953||udsdoc_person_array_homeloan|UDS Doc - Person - Array - Home Loan: One_Time_Fix_For_LenderName|Datamart Maintenance
2574478|2333205||udsdoc_driver_set_index|UDS Doc - Driver Set - Index Build: Reset CPD|Datamart Maintenance
2590255|2333205||udsdoc_driver_set_index|UDS Doc - Driver Set - Index Build: One Time Fix to Hard Code Driver Create Date and Last Seen Date Values|Datamart Maintenance
3142770|2351156||ibefmdarien002_amae|AMAE - FM - Darien 002: Manual injection of the CPD logic|Datamart Maintenance
3142656|2351234||ibefmambler001_amae|AMAE - FM - Ambler 001: Manual injection of the CPD logic|Datamart Maintenance
3142684|2351240||ibefmcanyon001_amae|AMAE - FM - Canyon 001: Manual injection of the CPD logic|Datamart Maintenance
3142773|2351242||ibefmdestin001_amae|AMAE - FM - Destin 001: Manual injection of the CPD logic|Datamart Maintenance
3142657|2351327||ibefmambler002_amae|AMAE - FM - Ambler 002: Manual injection of the CPD logic|Datamart Maintenance
